Date	Temperature [°C]
'05-Feb-2022 15:02:38'	10.369
'05-Feb-2022 16:02:38'	10.426
'05-Feb-2022 17:02:38'	10.535
'05-Feb-2022 18:02:38'	10.314
'05-Feb-2022 19:02:38'	10.425
'05-Feb-2022 20:02:38'	10.48
'05-Feb-2022 21:02:38'	10.593
'05-Feb-2022 22:02:38'	10.704
'05-Feb-2022 23:02:38'	10.76
'06-Feb-2022 00:02:38'	10.537
'06-Feb-2022 01:02:38'	10.481
'06-Feb-2022 02:02:38'	10.48
'06-Feb-2022 03:02:38'	10.481
'06-Feb-2022 04:02:38'	10.481
'06-Feb-2022 05:02:38'	10.313
'06-Feb-2022 06:02:38'	10.145
'06-Feb-2022 07:02:38'	10.089
'06-Feb-2022 08:02:38'	9.978
'06-Feb-2022 09:02:38'	9.921
'06-Feb-2022 10:02:38'	9.922
'06-Feb-2022 11:02:38'	15.008
'06-Feb-2022 12:02:38'	11.598
'06-Feb-2022 13:02:38'	11.542
'06-Feb-2022 14:02:38'	11.152
'06-Feb-2022 15:02:38'	11.375
'06-Feb-2022 16:02:38'	11.207
'06-Feb-2022 17:02:38'	11.04
'06-Feb-2022 18:02:38'	11.095
'06-Feb-2022 19:02:38'	11.039
'06-Feb-2022 20:02:38'	11.039
'06-Feb-2022 21:02:38'	11.039
'06-Feb-2022 22:02:38'	10.984
'06-Feb-2022 23:02:38'	10.872
'07-Feb-2022 00:02:38'	10.984
'07-Feb-2022 01:02:38'	10.928
'07-Feb-2022 02:02:38'	10.927
'07-Feb-2022 03:02:38'	10.984
'07-Feb-2022 04:02:38'	10.892
'07-Feb-2022 05:02:38'	10.871
'07-Feb-2022 06:02:38'	10.98
'07-Feb-2022 07:02:38'	10.872
'07-Feb-2022 08:02:38'	10.872
'07-Feb-2022 09:02:38'	10.928
'07-Feb-2022 10:02:38'	10.928
'07-Feb-2022 11:02:38'	11.04
'07-Feb-2022 12:02:38'	11.096
'07-Feb-2022 13:02:38'	11.04
'07-Feb-2022 14:02:38'	10.592
'07-Feb-2022 16:02:38'	10.648
'07-Feb-2022 17:02:38'	10.648
'07-Feb-2022 18:02:38'	10.759
'07-Feb-2022 19:02:38'	10.983
'07-Feb-2022 20:02:38'	11.04
'07-Feb-2022 21:02:38'	10.927
'07-Feb-2022 22:02:38'	10.872
'07-Feb-2022 23:02:38'	10.816
'08-Feb-2022 00:02:38'	10.704
'08-Feb-2022 01:02:38'	10.648
'08-Feb-2022 02:02:38'	10.593
'08-Feb-2022 03:02:38'	10.536
'08-Feb-2022 04:02:38'	10.424
'08-Feb-2022 05:02:38'	10.369
'08-Feb-2022 06:02:38'	10.276
'08-Feb-2022 07:02:38'	10.201
'08-Feb-2022 08:02:38'	10.145
'08-Feb-2022 09:02:38'	10.089
'08-Feb-2022 10:02:38'	10.145
'08-Feb-2022 11:02:38'	10.257
'08-Feb-2022 12:02:38'	10.537
'08-Feb-2022 13:02:38'	10.816
'08-Feb-2022 14:02:38'	10.816
'08-Feb-2022 15:02:38'	10.816
'08-Feb-2022 16:02:38'	10.871
'08-Feb-2022 17:02:38'	10.872
'08-Feb-2022 18:02:38'	10.872
'08-Feb-2022 19:02:38'	10.815
'08-Feb-2022 20:02:38'	10.76
'08-Feb-2022 21:02:38'	10.704
'08-Feb-2022 22:02:38'	10.648
'08-Feb-2022 23:02:38'	10.593
'09-Feb-2022 00:02:38'	10.648
'09-Feb-2022 01:02:38'	10.537
'09-Feb-2022 02:02:38'	10.425
'09-Feb-2022 03:02:38'	10.369
'09-Feb-2022 04:02:38'	10.257
'09-Feb-2022 05:02:38'	10.201
'09-Feb-2022 06:02:38'	10.089
'09-Feb-2022 07:02:38'	10.033
'09-Feb-2022 08:02:38'	9.978
'09-Feb-2022 09:02:38'	9.978
'09-Feb-2022 10:02:38'	9.977
'09-Feb-2022 11:02:38'	10.201
'09-Feb-2022 12:02:38'	10.313
'09-Feb-2022 13:02:38'	10.537
'09-Feb-2022 14:02:38'	10.593
'09-Feb-2022 15:02:38'	10.593
'09-Feb-2022 17:02:38'	10.929
'09-Feb-2022 18:02:38'	10.928
'09-Feb-2022 19:02:38'	10.87
'09-Feb-2022 20:02:38'	10.704
'09-Feb-2022 21:02:38'	10.593
'09-Feb-2022 22:02:38'	10.537
'09-Feb-2022 23:02:38'	10.537
'10-Feb-2022 00:02:38'	10.481
'10-Feb-2022 01:02:38'	10.481
'10-Feb-2022 02:02:38'	10.425
'10-Feb-2022 03:02:38'	10.425
'10-Feb-2022 04:02:38'	10.37
'10-Feb-2022 05:02:38'	10.426
'10-Feb-2022 06:02:38'	10.37
'10-Feb-2022 07:02:38'	10.314
'10-Feb-2022 08:02:38'	10.37
'10-Feb-2022 09:02:38'	10.37
'10-Feb-2022 10:02:38'	10.426
'10-Feb-2022 11:02:38'	10.425
'10-Feb-2022 12:02:38'	10.761
'10-Feb-2022 13:02:38'	10.985
'10-Feb-2022 14:02:38'	10.928
'10-Feb-2022 15:02:38'	10.984
'10-Feb-2022 16:02:38'	10.984
'10-Feb-2022 18:02:38'	11.04
'10-Feb-2022 19:02:38'	10.985
'10-Feb-2022 20:02:38'	10.705
'10-Feb-2022 21:02:38'	10.761
'10-Feb-2022 22:02:38'	10.704
'10-Feb-2022 23:02:38'	10.649
'11-Feb-2022 00:02:38'	10.594
'11-Feb-2022 01:02:38'	10.537
'11-Feb-2022 02:02:38'	10.481
'11-Feb-2022 03:02:38'	10.369
'11-Feb-2022 04:02:38'	10.314
'11-Feb-2022 05:02:38'	10.314
'11-Feb-2022 06:02:38'	10.257
'11-Feb-2022 07:02:38'	10.257
'11-Feb-2022 08:02:38'	10.201
'11-Feb-2022 09:02:38'	10.201
'11-Feb-2022 10:02:38'	10.258
'11-Feb-2022 11:02:38'	10.593
'11-Feb-2022 12:02:38'	10.649
'11-Feb-2022 13:02:38'	10.985
'11-Feb-2022 14:02:38'	10.817
'11-Feb-2022 15:02:38'	10.985
'11-Feb-2022 16:02:38'	11.096
'11-Feb-2022 17:02:38'	11.152
'11-Feb-2022 19:02:38'	10.928
'11-Feb-2022 20:02:38'	10.928
'11-Feb-2022 21:02:38'	10.817
'11-Feb-2022 22:02:38'	10.817
'11-Feb-2022 23:02:38'	10.76
'12-Feb-2022 00:02:38'	10.817
'12-Feb-2022 01:02:38'	10.761
'12-Feb-2022 02:02:38'	10.761
'12-Feb-2022 03:02:38'	10.817
'12-Feb-2022 04:02:38'	10.816
'12-Feb-2022 05:02:38'	10.872
'12-Feb-2022 06:02:38'	10.705
'12-Feb-2022 07:02:38'	10.704
'12-Feb-2022 08:02:38'	10.593
'12-Feb-2022 09:02:38'	10.704
'12-Feb-2022 10:02:38'	10.704
'12-Feb-2022 11:02:38'	10.872
'12-Feb-2022 12:02:38'	11.096
'12-Feb-2022 13:02:38'	10.875
'12-Feb-2022 14:02:38'	11.152
'12-Feb-2022 15:02:38'	10.927
'12-Feb-2022 16:02:38'	11.152
'12-Feb-2022 17:02:38'	10.984
'12-Feb-2022 18:02:38'	10.983
'12-Feb-2022 19:02:38'	10.928
'12-Feb-2022 20:02:38'	10.984
'12-Feb-2022 21:02:38'	10.872
'12-Feb-2022 22:02:38'	10.76
'12-Feb-2022 23:02:38'	10.76
'13-Feb-2022 00:02:38'	10.76
'13-Feb-2022 01:02:38'	10.648
'13-Feb-2022 02:02:38'	10.537
'13-Feb-2022 03:02:38'	10.481
'13-Feb-2022 04:02:38'	10.369
'13-Feb-2022 05:02:38'	10.313
